id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,furnishing,chiller_included,parking_spaces,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,contract_type,n_cheques,annual_rent_usd,rent_per_sqft_usd,rent_per_m2_usd
R000011,2025-06-04,Arabian Ranches 2,Arabian Ranches,25.0498,55.26914,villa,5BR_villa,5,4775,443.6,burj_khalifa,fully_furnished,True,2,Mashreq Bank,Red,145,16.4,yearly,2,267100,55,602
R000012,2024-11-04,Mira,Reem,25.03548,55.28718,villa,5BR_villa,5,4478,416.0,marina,unfurnished,False,2,Noor Bank,Red,131,18.03,yearly,2,98900,22,238
R000013,2022-12-24,Arabian Ranches 2,Arabian Ranches,25.06447,55.26784,villa,3BR_villa,3,2279,211.7,pool,fully_furnished,False,4,Mall of the Emirates,Red,124,14.77,yearly,1,76300,33,360
R000014,2024-04-06,Jebel Ali,Jebel Ali,25.00181,55.10447,apartment,1BR,1,753,70.0,marina,unfurnished,False,1,MRT-1,Red,55,27.66,yearly,4,12500,16,178
R000015,2022-11-27,The Valley,Dubai-Al Ain Road,24.95174,55.49623,villa,6BR_villa,6,7318,679.8,community,unfurnished,True,2,Sharaf DG,Red,416,35.27,yearly,12,89300,12,131
R000016,2022-03-02,Reem Mira,Reem,25.03863,55.28676,villa,4BR_villa,4,3439,319.5,marina,fully_furnished,True,3,Ibn Battuta,Red,185,17.68,short_term,1,96600,28,302
R000017,2022-08-03,Dubai Sports City,Dubai Sports City,25.02623,55.20989,apartment,1BR,1,702,65.2,pool,unfurnished,False,1,Ibn Battuta,Red,125,20.09,yearly,2,11700,16,179
R000018,2021-02-06,Damac Hills 2,Damac Hills,24.95842,55.29176,villa,3BR_villa,3,1788,166.1,golf_course,semi_furnished,True,3,Max,Red,368,26.61,yearly,4,22400,12,135
R000019,2021-07-31,Maritime City,Maritime City,25.26847,55.25222,apartment,1BR,1,817,75.9,burj_khalifa,unfurnished,True,2,Al Ghubaiba,Green,51,8.23,yearly,1,24500,30,322
R000020,2024-12-27,Arabian Ranches,Arabian Ranches,25.05886,55.28299,villa,5BR_villa,5,3906,362.9,community,semi_furnished,True,2,Discovery Gardens,Red,155,15.41,yearly,1,163500,41,451
R000021,2022-07-03,Sobha Hartland,MBR City,25.17302,55.30469,apartment,2BR,2,1255,116.6,marina,unfurnished,True,1,Union,Red,118,4.06,short_term,4,47100,37,404
R000022,2024-08-18,Maritime City,Maritime City,25.257,55.26653,apartment,3BR,3,2056,191.0,burj_khalifa,unfurnished,True,1,Al Ghubaiba,Green,51,6.7,yearly,2,96400,46,505
R000023,2026-04-26,Jumeirah Park,Emirates Living,25.03805,55.15708,villa,3BR_villa,3,2482,230.6,sea,semi_furnished,True,2,Discovery Gardens,Red,36,21.28,yearly,1,130900,52,568
R000024,2024-10-21,Jumeirah 2,Jumeirah,25.21473,55.23497,apartment,studio,0,381,35.4,burj_khalifa,unfurnished,False,2,Burj Khalifa/Dubai Mall,Red,49,4.42,short_term,4,20100,52,568
R000025,2022-01-29,Bukadra,Bukadra,25.1823,55.32685,apartment,3BR,3,2022,187.9,marina,fully_furnished,False,1,Al Qiyadah (G),Green,150,5.53,yearly,2,45100,22,240
R000026,2023-12-03,Arabian Ranches,Arabian Ranches,25.05895,55.26394,villa,5BR_villa,5,4912,456.4,pool,unfurnished,False,2,First Abu Dhabi Bank,Red,125,15.41,yearly,12,210700,42,462
R000027,2024-08-22,Reem Mira,Reem,25.03509,55.26492,villa,4BR_villa,4,4706,437.2,community,semi_furnished,True,3,Discovery Gardens,Red,155,18.05,short_term,2,142700,30,326
R000028,2021-10-30,Pearl Jumeira,Jumeirah,25.22702,55.25229,apartment,4BR_penthouse,4,3678,341.7,community,fully_furnished,False,1,UAE Exchange,Red,390,3.99,yearly,1,215800,58,632
R000029,2025-07-24,Jumeirah Village Circle,JVC,25.05485,55.20436,apartment,3BR,3,2445,227.1,city,fully_furnished,False,1,Mashreq Bank,Red,77,17.33,yearly,1,54300,22,239
R000030,2026-01-31,City Walk,Al Wasl,25.21968,55.27538,apartment,2BR,2,1145,106.4,park,fully_furnished,False,2,Al Jafiliya,Red,47,2.5,yearly,6,55200,48,519
R000031,2021-09-28,Meydan,Meydan,25.15735,55.29548,apartment,1BR,1,966,89.7,community,fully_furnished,False,2,Al Jadaf,Green,108,4.91,short_term,6,20900,21,233
R000032,2025-11-19,Town Square,Nshama,25.01308,55.27763,apartment,2BR,2,783,72.8,burj_khalifa,unfurnished,True,1,Jumeirah Golf Estates,Red,129,20.48,yearly,2,14700,18,202
R000033,2025-08-10,Town Square,Nshama,25.00833,55.25255,apartment,2BR,2,1233,114.5,pool,fully_furnished,False,1,Mall of the Emirates,Red,168,21.12,yearly,12,30000,24,262
R000034,2024-02-18,Bukadra,Bukadra,25.19392,55.33441,apartment,3BR,3,1728,160.5,golf_course,fully_furnished,True,2,Jebel Ali,Red,341,6.05,yearly,1,59800,34,373
R000035,2024-11-10,Downtown Dubai,Downtown,25.18621,55.25442,apartment,1BR,1,748,69.5,community,fully_furnished,True,1,Burj Khalifa/Dubai Mall,Red,8,2.35,yearly,12,36400,48,524
R000036,2024-06-18,World Islands,World Islands,25.21941,55.14939,apartment,3BR,3,2059,191.2,marina,unfurnished,False,2,Emirates Towers,Red,148,12.82,yearly,6,195100,94,1020
R000037,2021-06-30,Tilal Al Ghaf,Tilal Al Ghaf,25.00721,55.26689,villa,4BR_villa,4,4860,451.5,community,unfurnished,True,2,Ibn Battuta,Red,178,21.14,yearly,12,124100,25,275
R000038,2025-06-21,Dubai Studio City,Dubai Studio City,25.05156,55.2175,apartment,1BR,1,544,50.5,sea,unfurnished,True,1,Expo 2020,Red,149,17.18,yearly,2,13500,24,267
R000039,2022-11-22,Jumeirah 3,Jumeirah,25.20077,55.2246,apartment,2BR,2,1467,136.3,city,unfurnished,True,1,Max,Red,86,5.03,yearly,6,70300,47,516
R000040,2025-07-27,Dubai Festival City,Festival City,25.22748,55.38851,apartment,3BR,3,1833,170.3,burj_khalifa,unfurnished,True,3,Al Jadaf,Green,26,11.96,yearly,6,52300,28,307
R000041,2022-08-03,Reem Mira,Reem,25.04806,55.26827,villa,4BR_villa,4,2995,278.2,golf_course,fully_furnished,True,2,Salah Al Din,Red,322,16.6,yearly,1,64500,21,232
R000042,2022-08-10,Jumeirah 1,Jumeirah,25.22634,55.27343,apartment,1BR,1,815,75.8,community,fully_furnished,False,1,Oud Metha,Green,67,3.24,yearly,6,26400,32,348
R000043,2021-10-01,The Lakes,Emirates Living,25.06091,55.17598,villa,4BR_villa,4,2910,270.4,park,semi_furnished,False,3,Al Jafiliya,Red,265,18.11,yearly,12,101100,34,374
R000044,2024-08-30,La Mer,Jumeirah,25.22687,55.27083,apartment,1BR,1,803,74.6,burj_khalifa,unfurnished,False,1,Salah Al Din (G),Green,102,3.32,yearly,2,69200,86,928
R000045,2022-05-24,Dubai Investment Park,DIP,25.00181,55.1985,apartment,4BR_penthouse,4,2853,265.0,park,semi_furnished,True,1,Al Furjan,Red,59,23.03,yearly,6,42600,14,161
R000046,2025-03-02,Jumeirah 2,Jumeirah,25.22391,55.23161,apartment,3BR,3,1527,141.8,community,unfurnished,True,2,Baniyas Square,Red,100,5.23,yearly,1,69800,45,492
R000047,2023-09-29,Dubai Studio City,Dubai Studio City,25.0347,55.20568,apartment,1BR,1,706,65.5,sea,fully_furnished,False,1,MRT-1,Red,115,19.35,yearly,1,17300,24,264
R000048,2021-01-12,Deira,Deira,25.28928,55.30845,apartment,2BR,2,868,80.6,community,semi_furnished,True,1,Abu Baker Al Siddique,Red,29,10.8,yearly,2,9400,10,117
R000049,2022-12-18,Jumeirah 1,Jumeirah,25.22951,55.24861,apartment,studio,0,492,45.7,city,unfurnished,True,1,World Trade Centre,Red,39,4.43,yearly,2,18700,37,408
R000050,2025-03-23,The Greens,The Greens,25.10022,55.17604,apartment,1BR,1,722,67.1,marina,fully_furnished,True,1,Dubai Internet City,Red,5,14.64,yearly,4,25400,35,378
R000051,2026-03-01,Umm Suqeim,Jumeirah,25.16547,55.2107,villa,3BR_villa,3,3583,332.9,park,fully_furnished,True,3,Ibn Battuta,Red,173,7.32,yearly,2,244200,68,734
R000052,2021-06-05,Dubai Hills Estate,Mohammed Bin Rashid,25.1135,55.24178,villa,4BR_villa,4,3973,369.1,community,fully_furnished,True,3,Sharaf DG,Red,71,9.87,yearly,2,104200,26,282
R000053,2026-03-09,Remraam,Dubailand,25.0057,55.2412,apartment,2BR,2,825,76.7,golf_course,fully_furnished,True,1,First Abu Dhabi Bank,Red,182,21.56,yearly,4,12000,14,156
R000054,2025-09-07,Karama,Bur Dubai,25.2442,55.3183,apartment,1BR,1,754,70.0,marina,fully_furnished,False,1,Union,Red,34,6.84,short_term,2,19400,25,277
R000055,2022-03-06,Azizi Riviera,MBR City,25.16252,55.28548,apartment,2BR,2,899,83.5,city,fully_furnished,True,1,Discovery Gardens,Red,253,4.01,short_term,2,18000,20,215
R000056,2023-11-11,Jumeirah 2,Jumeirah,25.23506,55.24541,apartment,1BR,1,815,75.7,city,fully_furnished,False,2,Al Karama,Red,91,5.12,yearly,12,41600,51,550
R000057,2026-02-20,Jumeirah 3,Jumeirah,25.20737,55.23585,villa,6BR_villa,6,7712,716.4,sea,fully_furnished,True,3,Al Karama,Red,109,4.04,yearly,4,603100,78,842
R000058,2023-12-12,Dubai Islands,Deira Islands,25.27722,55.33793,villa,3BR_villa,3,2443,226.9,marina,unfurnished,False,3,Al Qiyadah,Red,43,10.95,yearly,1,105500,43,465
R000059,2021-06-24,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.1657,55.30715,apartment,1BR,1,796,74.0,community,fully_furnished,False,1,Salah Al Din,Red,153,4.81,yearly,6,20700,26,280
R000060,2023-04-29,Expo City,Dubai South,24.96031,55.12907,apartment,1BR,1,732,68.0,marina,fully_furnished,False,1,Dubai Investment Park,Red,51,30.13,yearly,2,12600,17,185
R000061,2024-01-02,Maritime City,Maritime City,25.26968,55.25907,apartment,1BR,1,754,70.0,park,fully_furnished,False,1,Al Karama,Red,60,8.21,yearly,2,23800,31,340
R000062,2022-07-27,Jumeirah Village Triangle,JVT,25.05109,55.1808,apartment,studio,0,528,49.1,community,semi_furnished,True,1,Noor Bank,Red,105,18.78,yearly,2,10000,18,204
R000063,2021-06-14,Bluewaters Island,Dubai Marina,25.08667,55.14101,apartment,4BR_penthouse,4,2991,277.8,community,fully_furnished,False,1,Mashreq Bank,Red,63,18.2,yearly,2,120600,40,434
R000064,2022-09-16,Dubai Harbour,Dubai Marina,25.08794,55.12962,apartment,1BR,1,442,41.0,burj_khalifa,fully_furnished,False,1,Ibn Battuta,Red,72,18.97,yearly,2,29300,66,713
R000065,2021-07-19,Falcon City of Wonders,Dubailand,25.03941,55.32241,apartment,2BR,2,1143,106.2,community,semi_furnished,True,2,MRT-1,Red,217,18.2,yearly,2,11600,10,110
R000066,2024-08-06,Jumeirah 1,Jumeirah,25.23421,55.2551,villa,4BR_villa,4,4851,450.6,marina,fully_furnished,False,3,Max,Red,45,4.55,yearly,2,227500,46,505
R000067,2025-09-22,Jumeirah Lake Towers,JLT,25.07386,55.12575,apartment,studio,0,485,45.1,community,unfurnished,False,2,UAE Pavilion,Red,55,20.3,yearly,12,10000,20,221
R000068,2024-03-29,The Springs,Emirates Living,25.05923,55.17881,villa,3BR_villa,3,2316,215.2,community,fully_furnished,True,4,Mashreq Bank,Red,69,18.11,yearly,6,82200,35,382
R000069,2023-09-08,Al Reem,Arabian Ranches,25.0391,55.27681,villa,6BR_villa,6,9255,859.8,marina,semi_furnished,True,2,Mashreq Bank,Red,139,17.58,yearly,2,307500,33,358
R000070,2022-04-15,The Valley,Dubai-Al Ain Road,24.97418,55.48755,villa,5BR_villa,5,4803,446.2,burj_khalifa,fully_furnished,True,2,Financial Centre,Red,422,32.8,yearly,1,120000,25,269
R000071,2023-04-12,Jumeirah Bay Island,Jumeirah,25.19867,55.24238,apartment,4BR_penthouse,4,3508,325.9,sea,fully_furnished,True,1,Dubai Healthcare City,Green,91,3.23,yearly,2,445900,127,1368
R000072,2022-08-06,Arabian Ranches,Arabian Ranches,25.04311,55.28831,villa,3BR_villa,3,3261,303.0,marina,unfurnished,False,4,Emirates Towers,Red,224,17.19,yearly,4,109800,33,363
R000073,2024-12-31,Jumeirah 1,Jumeirah,25.22776,55.24962,apartment,1BR,1,829,77.0,community,fully_furnished,True,1,Burj Khalifa/Dubai Mall,Red,48,4.21,yearly,2,45500,54,591
R000074,2022-02-17,DIFC,DIFC,25.20428,55.28691,apartment,4BR_penthouse,4,1803,167.5,community,unfurnished,True,2,Burj Khalifa/Dubai Mall,Red,21,1.48,yearly,2,64300,35,384
R000075,2025-01-28,Bluewaters Island,Dubai Marina,25.07753,55.12885,apartment,studio,0,413,38.4,community,fully_furnished,False,2,Dubai Internet City,Red,67,19.79,yearly,6,21900,53,571
R000076,2022-04-23,Business Bay,Business Bay,25.19808,55.28746,apartment,1BR,1,784,72.9,community,unfurnished,False,1,Business Bay,Red,3,1.32,yearly,2,25400,32,349
R000077,2026-04-11,Business Bay,Business Bay,25.18202,55.28006,apartment,studio,0,359,33.3,city,unfurnished,True,2,Union,Red,124,1.78,yearly,1,13000,36,389
R000078,2024-07-02,Jumeirah 1,Jumeirah,25.24095,55.24695,apartment,4BR_penthouse,4,3189,296.2,pool,unfurnished,True,1,Palm Deira,Green,58,5.59,yearly,2,151900,47,513
R000079,2023-07-26,The Valley,Dubai-Al Ain Road,24.96667,55.47978,villa,4BR_villa,4,3676,341.5,pool,semi_furnished,True,2,Centrepoint,Red,414,32.94,yearly,4,64500,17,189
R000080,2024-02-05,Damac Hills,Damac Hills,25.04209,55.26723,apartment,3BR,3,1963,182.3,marina,fully_furnished,True,3,Al Karama,Red,308,17.26,yearly,12,60400,30,331
R000081,2023-08-16,Jumeirah 1,Jumeirah,25.23546,55.26515,apartment,4BR_penthouse,4,2967,275.6,community,fully_furnished,True,3,Al Ghubaiba,Green,56,4.35,yearly,2,134600,45,488
R000082,2023-11-26,Al Mamzar,Al Mamzar,25.31356,55.36885,apartment,3BR,3,1696,157.6,sea,fully_furnished,False,3,Creek,Green,90,16.05,yearly,12,43000,25,273
R000083,2024-08-18,Dubai South,Dubai South,24.9196,55.15695,villa,6BR_villa,6,7070,656.9,community,semi_furnished,True,4,UAE Exchange,Red,141,33.06,yearly,2,86200,12,131
R000084,2025-12-14,Jumeirah Village Triangle,JVT,25.0576,55.1805,apartment,1BR,1,738,68.6,park,fully_furnished,True,1,Jumeirah Golf Estates,Red,47,18.17,yearly,12,19400,26,284
R000085,2021-01-01,Dubai South,Dubai South,24.90382,55.16631,villa,3BR_villa,3,3433,318.9,marina,fully_furnished,True,3,Jumeirah Golf Estates,Red,156,34.39,yearly,4,35300,10,111
R000086,2024-11-23,Damac Hills,Damac Hills,25.02966,55.26582,villa,4BR_villa,4,3771,350.4,burj_khalifa,unfurnished,True,2,Business Bay,Red,217,18.65,short_term,2,125300,33,358
R000087,2022-05-19,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.1765,55.31834,apartment,studio,0,538,50.0,park,fully_furnished,True,1,Abu Baker Al Siddique,Red,158,4.98,yearly,12,22700,42,454
R000088,2025-04-16,Bukadra,Bukadra,25.18679,55.30683,villa,5BR_villa,5,4718,438.4,community,unfurnished,True,3,Abu Baker Al Siddique,Red,138,3.46,yearly,2,128200,27,292
R000089,2024-11-22,Dubai Silicon Oasis,Dubai Silicon Oasis,25.12571,55.3837,apartment,1BR,1,708,65.8,burj_khalifa,unfurnished,True,1,BurJuman (G),Green,208,13.57,yearly,4,18800,26,285
R000090,2024-01-05,Mira,Reem,25.04341,55.26754,villa,4BR_villa,4,4834,449.1,pool,unfurnished,True,3,Jebel Ali,Red,175,17.11,yearly,1,136900,28,305
R000091,2025-08-23,World Islands,World Islands,25.21609,55.14152,apartment,3BR,3,1301,120.8,city,unfurnished,False,1,BurJuman (G),Green,175,13.53,yearly,2,94500,72,782
R000092,2021-01-21,Jumeirah Beach Residence,Dubai Marina,25.08364,55.13166,apartment,1BR,1,767,71.2,marina,fully_furnished,False,2,Mall of the Emirates,Red,100,19.13,yearly,6,23300,30,327
R000093,2022-03-02,World Islands,World Islands,25.22732,55.15695,villa,3BR_villa,3,2587,240.3,community,unfurnished,False,2,Creek,Green,230,12.28,yearly,1,121000,46,504
R000094,2024-01-02,Dubai Harbour,Dubai Marina,25.0806,55.14313,apartment,4BR_penthouse,4,2597,241.3,park,unfurnished,True,1,Baniyas Square (G),Green,306,18.51,yearly,12,162600,62,674
R000095,2024-11-06,DAMAC Lagoons,Damac,25.06124,55.27581,villa,4BR_villa,4,1872,173.9,park,unfurnished,False,4,Expo 2020,Red,190,15.12,short_term,6,43800,23,252
R000096,2021-09-12,Dubai South,Dubai South,24.908,55.16852,villa,5BR_villa,5,4890,454.3,community,fully_furnished,True,3,Danube,Red,156,33.88,yearly,1,40000,8,88
R000097,2022-05-02,Motor City,Motor City,25.03669,55.26384,apartment,3BR,3,1732,160.9,park,fully_furnished,True,1,Discovery Gardens,Red,116,17.88,yearly,1,30000,17,186
R000098,2022-12-26,Jumeirah Lake Towers,JLT,25.07721,55.13103,apartment,1BR,1,683,63.4,burj_khalifa,unfurnished,True,2,Business Bay,Red,222,19.65,yearly,1,19300,28,304
R000099,2023-02-13,Jumeirah Lake Towers,JLT,25.06963,55.13855,apartment,studio,0,444,41.2,city,unfurnished,False,1,Ibn Battuta,Red,42,19.7,yearly,6,9900,22,240
R000100,2024-11-29,Dubai Harbour,Dubai Marina,25.07324,55.15476,apartment,4BR_penthouse,4,1979,183.9,city,fully_furnished,False,1,Sharaf DG,Red,57,18.3,yearly,4,141300,71,769
R000101,2025-08-15,Deira,Deira,25.2699,55.30147,apartment,2BR,2,1169,108.6,community,unfurnished,True,2,Union (G),Green,3,8.53,yearly,2,24500,21,226
R000102,2026-03-22,Jumeirah Golf Estates,JGE,25.00637,55.19145,villa,4BR_villa,4,4720,438.5,sea,semi_furnished,False,4,Jumeirah Golf Estates,Red,30,22.8,yearly,6,257000,54,586
R000103,2025-01-06,Deira,Deira,25.27926,55.2871,apartment,1BR,1,893,83.0,community,unfurnished,False,2,Union (G),Green,6,9.21,yearly,6,20900,23,252
R000104,2025-06-15,The Springs,Emirates Living,25.04583,55.19416,villa,5BR_villa,5,5497,510.7,community,fully_furnished,False,3,Dubai Investment Park,Red,81,18.67,yearly,1,182600,33,358
R000105,2021-07-25,Jumeirah Beach Residence,Dubai Marina,25.07784,55.12807,apartment,studio,0,447,41.5,city,fully_furnished,False,1,MRT-1,Red,60,19.83,yearly,1,15500,34,374
R000106,2024-06-22,The Springs,Emirates Living,25.04731,55.18997,villa,4BR_villa,4,3821,355.0,park,unfurnished,False,2,Discovery Gardens,Red,51,18.71,yearly,2,150900,39,425
R000107,2024-02-20,Umm Suqeim,Jumeirah,25.15044,55.21988,villa,5BR_villa,5,4778,443.9,park,fully_furnished,True,2,Mall of the Emirates,Red,44,7.56,yearly,6,328100,68,739
R000108,2022-06-02,Mira,Reem,25.05154,55.27848,villa,5BR_villa,5,3561,330.8,city,fully_furnished,False,3,Baniyas Square (G),Green,310,16.2,yearly,4,80600,22,244
R000109,2025-12-23,Dubai Production City,IMPZ,25.0176,55.22494,apartment,2BR,2,1259,116.9,pool,unfurnished,False,3,Business Bay,Red,224,20.58,yearly,2,15400,12,132
R000110,2021-04-23,Sustainable City,Sustainable City,24.96566,55.28576,villa,4BR_villa,4,4156,386.1,city,fully_furnished,True,3,Noor Bank,Red,209,25.77,yearly,12,94900,22,246
R000111,2026-02-15,Business Bay,Business Bay,25.18781,55.24926,apartment,2BR,2,1070,99.4,sea,unfurnished,True,2,Burj Khalifa/Dubai Mall,Red,22,2.74,yearly,1,47000,43,472
R000112,2024-02-05,Al Barsha,Al Barsha,25.11646,55.20396,apartment,1BR,1,732,68.0,golf_course,semi_furnished,True,2,Noor Bank,Red,28,11.44,yearly,2,24700,33,363
R000113,2024-12-28,Jumeirah Village Circle,JVC,25.04909,55.22152,apartment,3BR,3,1519,141.1,sea,unfurnished,True,1,Energy,Red,179,17.31,yearly,2,37300,24,264
R000114,2023-09-02,Meydan,Meydan,25.15365,55.29169,apartment,studio,0,506,47.1,pool,fully_furnished,True,1,Expo 2020,Red,317,5.15,yearly,12,23800,47,506
R000115,2024-05-28,Jumeirah Bay Island,Jumeirah,25.21831,55.25452,apartment,1BR,1,881,81.8,marina,fully_furnished,True,1,Business Bay,Red,30,3.08,yearly,4,129800,147,1586
R000116,2026-02-12,The Springs,Emirates Living,25.05799,55.18424,villa,3BR_villa,3,3632,337.5,pool,fully_furnished,True,3,Jumeirah Golf Estates,Red,31,17.94,yearly,4,168000,46,498
R000117,2021-07-17,Jumeirah Village Triangle,JVT,25.04953,55.16221,apartment,1BR,1,942,87.5,city,fully_furnished,True,2,Discovery Gardens,Red,52,19.93,yearly,2,16000,17,183
R000118,2023-02-25,DIFC,DIFC,25.21603,55.2758,apartment,2BR,2,1300,120.8,city,fully_furnished,True,1,Financial Centre,Red,4,2.1,yearly,2,120300,92,996
R000119,2025-07-10,Karama,Bur Dubai,25.23845,55.29554,apartment,2BR,2,1160,107.8,city,fully_furnished,False,1,Al Karama,Red,17,5.06,yearly,4,24800,21,230
R000120,2023-08-07,World Islands,World Islands,25.23705,55.15057,apartment,2BR,2,1028,95.5,park,unfurnished,False,2,Max,Red,166,13.22,yearly,1,65800,64,689
R000121,2022-08-15,Dubai Investment Park,DIP,24.99885,55.18806,apartment,1BR,1,771,71.7,park,semi_furnished,True,1,Dubai Investment Park,Red,16,23.71,yearly,12,9100,11,127
R000122,2024-06-09,Damac Hills,Damac Hills,25.02592,55.25578,apartment,1BR,1,877,81.4,park,semi_furnished,True,2,Jumeirah Golf Estates,Red,115,19.14,yearly,4,24100,27,296
R000123,2022-11-25,Dubai Islands,Deira Islands,25.29503,55.31807,apartment,1BR,1,666,61.8,city,fully_furnished,True,1,Abu Baker Al Siddique (G),Green,25,11.73,yearly,1,24500,36,396
R000124,2025-11-08,Arabian Ranches 3,Arabian Ranches,25.05812,55.28497,villa,3BR_villa,3,3813,354.2,park,semi_furnished,True,2,UAE Exchange,Red,280,15.5,yearly,1,191600,50,541
R000125,2025-08-06,Arabian Ranches 2,Arabian Ranches,25.04482,55.26902,villa,5BR_villa,5,4845,450.2,city,semi_furnished,False,3,Sharaf DG,Red,129,16.95,yearly,2,231900,47,515
R000126,2021-01-29,The Views,The Greens,25.0977,55.18416,apartment,studio,0,345,32.1,community,fully_furnished,False,1,Dubai Internet City,Red,5,14.31,yearly,6,5800,16,182
R000127,2022-03-18,Liwan,Dubailand,25.07661,55.32357,apartment,2BR,2,1134,105.3,pool,fully_furnished,False,2,BurJuman,Red,255,14.29,yearly,4,19300,17,183
R000128,2023-04-27,Palm Jumeirah,Palm Jumeirah,25.10863,55.15519,apartment,3BR,3,2143,199.1,marina,fully_furnished,False,1,Mashreq Bank,Red,43,15.52,yearly,12,192800,90,969
R000129,2024-10-29,Karama,Bur Dubai,25.25112,55.27933,apartment,1BR,1,642,59.6,sea,unfurnished,True,2,BurJuman (G),Green,14,6.02,yearly,4,18400,28,309
R000130,2024-02-29,Liwan,Dubailand,25.05755,55.30222,apartment,3BR,3,2414,224.2,pool,fully_furnished,True,1,Financial Centre,Red,205,15.78,yearly,4,54000,22,241
R000131,2021-07-17,Mirdif,Mirdif,25.21603,55.43857,villa,5BR_villa,5,5319,494.2,community,semi_furnished,True,2,Burj Khalifa/Dubai Mall,Red,179,16.65,yearly,4,92400,17,187
R000132,2022-12-23,City Walk,Al Wasl,25.22322,55.27413,apartment,studio,0,452,42.0,community,fully_furnished,True,1,World Trade Centre,Red,38,2.89,yearly,2,23200,51,552
R000133,2022-09-18,Dubai Production City,IMPZ,25.036,55.22945,apartment,1BR,1,889,82.6,pool,fully_furnished,False,2,Danube,Red,136,18.49,yearly,2,15500,17,187
R000134,2023-12-16,The Greens,The Greens,25.09773,55.16348,apartment,4BR_penthouse,4,3579,332.5,pool,unfurnished,False,1,Dubai Internet City,Red,5,15.72,yearly,2,126700,35,381
R000135,2022-05-08,Umm Suqeim,Jumeirah,25.15194,55.19411,villa,4BR_villa,4,3339,310.2,marina,fully_furnished,False,4,Mall of the Emirates,Red,46,9.52,yearly,4,203000,60,655
R000136,2023-05-28,Dubai Hills Estate,Mohammed Bin Rashid,25.11011,55.26367,villa,4BR_villa,4,3682,342.1,community,unfurnished,False,2,Oud Metha,Green,185,9.74,yearly,2,113100,30,331
R000137,2024-11-05,Maritime City,Maritime City,25.26101,55.24913,apartment,2BR,2,1306,121.4,community,unfurnished,True,2,Union,Red,68,7.54,yearly,2,37100,28,306
R000138,2022-03-09,Jumeirah 3,Jumeirah,25.19858,55.22466,apartment,4BR_penthouse,4,3098,287.8,park,semi_furnished,False,2,Emirates Towers,Red,63,5.01,yearly,2,115400,37,401
R000139,2022-06-30,Discovery Gardens,Discovery Gardens,25.05216,55.12714,apartment,studio,0,330,30.6,community,fully_furnished,False,2,MRT-1,Red,20,21.91,yearly,12,5000,15,164
R000140,2022-10-16,Jumeirah Islands,Emirates Living,25.0582,55.17503,villa,6BR_villa,6,6810,632.7,golf_course,fully_furnished,False,3,Jumeirah Golf Estates,Red,36,18.41,yearly,6,301600,44,477
